constituency,region,result,turnout,turnout_perc,turnout_change,one_party,one_person,one_vote,two_party,two_person,two_vote,three_party,three_person,three_vote,four_party,four_person,four_vote,five_party,five_person,five_vote,six_party,six_person,six_vote,seven_party,seven_person,seven_vote,eight_party,eight_person,eight_vote,nine_party,nine_person,nine_vote,ten_party,ten_person,ten_vote,eleven_party,eleven_person,eleven_vote,twelve_party,twelve_person,twelve_vote
Ynys Mon,North Wales,PC HOLD,53554,52,+1.80,Plaid Cymru,Rhun ap Iorwerth,15506,Conservative,Lyn Hudson,5689,Labour,Sam Egelstaff,5300,Reform UK,Emmett Jenner,692,"Liberal Democrat, ",Christopher Jones,547,,,,,,,,,,,,,,,,,,,,,
Arfon,North Wales,PC HOLD,42710,51,0.00,Plaid Cymru,Sian Gwenllian,13760,Labour,Iwan Wyn Jones,5108,Conservative,Tony Thomas,1806,Liberal Democrat,Calum Davies,642,"Reform UK, ",Andrew Haigh,350,"Independent, ",Martin Harry Bristow,82,,,,,,,,,,,,,,,,,,
Aberconwy,North Wales,CON HOLD,45436,52,+2.80,Conservative,Janet Finch-Saunders,9815,Plaid Cymru,Aaron Wynne,6479,Labour,Dawn McGuinness,5971,Liberal Democrat,Rhys Jones,735,"Reform UK, ",Rachel Bagshaw,320,"No More Lockdowns, ",Sharon Smith,223,,,,,,,,,,,,,,,,,,
Clwyd West,North Wales,CON HOLD,58671,48,+2.80,Conservative,Darren Millar,11839,Labour,Joshua Hurst,8154,Plaid Cymru,Elin Walker Jones,5609,Liberal Democrat,David Wilkins,1158,"UK Independence Party, ",Jeanie Barton,520,"Abolish the Welsh Assembly Party, ",Euan McGivern,502,"Reform UK, ",Clare Eno,304,"Gwlad, ",Rhydian Hughes,277,,,,,,,,,,,,
Vale of Clwyd,North Wales,CON GAIN,56622,46,+3.10,Conservative,Gareth Davies,10792,Labour,Jason McLellan,10426,Plaid Cymru,Glenn Swingler,2972,Liberal Democrat,Lisa Jane,782,"Reform UK, ",Peter Dain,552,"Independent, ",David Thomas,529,,,,,,,,,,,,,,,,,,
Delyn,North Wales,LAB HOLD,56489,47,+3.50,Labour,Hannah Blythyn,12846,Conservative,Mark Isherwood,9135,Plaid Cymru,Paul Rowlinson,2097,Liberal Democrat,Andrew Parkhurst,1094,"UK Independence Party, ",Mary Davies,862,"Reform UK, ",Aiden Robert Down,297,"Gwlad, ",Anthony Williams,112,,,,,,,,,,,,,,,
Alyn & Deeside,North Wales,LAB HOLD,65884,39,+4.60,Labour,Jack Sargeant,12622,Conservative,Abigail Mainon,8244,Plaid Cymru,Jack Morris,1886,Liberal Democrat,Christopher Twells,1584,"UK Independence Party, ",Felix Aubel,898,"Reform UK, ",Richard Purviss,401,"Freedom Alliance, ",Lien Davies,208,,,,,,,,,,,,,,,
Wrexham,North Wales,LAB HOLD,53181,43,+3.00,Labour,Lesley Griffiths,8452,Conservative,Jeremy Kent,7102,Plaid Cymru,Carrie Harper,4832,Abolish the Welsh Assembly Party,Paul Ashton,790,"Liberal Democrat, ",Timothy Sly,755,"UK Independence Party, ",Sebastian Ross,378,"Reform UK, ",Charles William Henry Dodman,187,"Gwlad, ",Aaron Norton,110,,,,,,,,,,,,
Clwyd South,North Wales,LAB HOLD,55237,44,+2.90,Labour,Ken Skates,10448,Conservative,Barbara Hughes,7535,Plaid Cymru,Llyr Gruffydd,4094,Liberal Democrat,Leena Farhat,730,"Abolish the Welsh Assembly Party, ",Jonathon Harrington,599,"UK Independence Party, ",Jeanette Bassford-Barton,522,"Reform UK, ",Mandy Jones,277,,,,,,,,,,,,,,,
Dwyfor Meirionnydd,Mid and West Wales,PC HOLD,45447,52,+5.60,Plaid Cymru,Mabon ap Gwynfor,11490,Conservative,Charlie Evans,4394,Labour,Cian Ireland,3702,Propel,Peter Read,1314,"Llais Gwynedd, ",Glyn Daniels,1136,"Liberal Democrat, ",Stephen Churchman,916,"Reform UK, ",Louise Hughes,710,"Freedom Alliance, ",Michelle Murray,152,,,,,,,,,,,,
